,Name,log2FoldChange,padj,type,-log10padj,color
868,mmpL10,-0.744,0.0067133682030815,coding,2.1730595327374327,-1 < log2FC < 1
869,cyp130,-0.701,6.26030977818633e-05,coding,4.203404176114124,-1 < log2FC < 1
870,cyp125,-0.801,5.75226342775954e-05,non-coding,4.240161233438337,-1 < log2FC < 1
871,recD,-0.716,0.0005600282302506,coding,3.251790080256224,-1 < log2FC < 1
872,modB,0.065,0.836636569408947,coding,0.0774631563159812,Not significative
873,corA,-0.057,0.863953477751968,pseudogene,0.0635096428215457,Not significative
874,ag85A,-0.28,0.392421257043862,coding,0.4062474753827938,Not significative
875,rsmA,-0.398,0.0333500768186247,non-coding,1.4769031613916184,-1 < log2FC < 1
876,ybeY,-0.23,0.264171214303856,pseudogene,0.5781145075015304,Not significative
877,lsr2,0.282,0.214553915302569,pseudogene,0.6684635558048786,Not significative
878,dfrA,0.403,0.0671583804330532,coding,1.1728997856946366,Not significative
879,esxJ,0.072,0.748153353912481,coding,0.1260093728150778,Not significative
880,bcp,-0.516,0.0088842101638362,pseudogene,2.051381176382593,-1 < log2FC < 1
881,narI,-0.52,0.0134125589451558,non-coding,1.8724883563960093,-1 < log2FC < 1
882,mazF7,-0.223,0.0888496883273991,non-coding,1.0513440913018777,Not significative
883,proV,-0.047,0.843296760711565,non-coding,0.0740195678903693,Not significative
884,oxyS,0.419,0.0136581595097067,coding,1.8646078195879672,-1 < log2FC < 1
885,ruvB,-0.313,0.159809931046832,coding,0.7963962358804453,Not significative
886,lepA,-0.084,0.569384681246843,coding,0.2445942213117528,Not significative
887,pcaA,0.311,0.0996573403870398,coding,1.0014907072777983,Not significative
888,mshA,0.277,0.374601030133949,coding,0.4264310326712071,Not significative
889,cpdA,1.043,8.068310424785881e-09,coding,8.09321740084375,log2FC > 1
890,ethR,1.975,3.3769235274556904e-35,coding,34.47147877412327,log2FC > 1
891,whiB5,2.103,2.61948808058501e-26,coding,25.581783573374818,log2FC > 1
892,hsaB,0.822,9.59532236776062e-07,pseudogene,6.0179404299761625,-1 < log2FC < 1
893,lppM,0.638,0.0508175581586859,non-coding,1.2939862071267865,Not significative
894,nudC,-0.085,0.734671898045967,coding,0.1339065720475276,Not significative
895,smpB,-0.652,0.0001453512356383,pseudogene,3.8375812719182223,-1 < log2FC < 1
896,ctpG,0.828,2.11769375278197e-07,non-coding,6.674136844555886,-1 < log2FC < 1
897,narJ,0.264,0.336567337552628,pseudogene,0.4729280327717816,Not significative
898,ftsY,-0.603,0.01298148663485,coding,1.8866755694507893,-1 < log2FC < 1
899,mmpL2,-0.633,0.0004650084350688,non-coding,3.332539169108737,-1 < log2FC < 1
900,pks13,-0.061,0.744375384526644,coding,0.1282079968268749,Not significative
901,chsH2,1.802,7.194803573806849e-11,non-coding,10.142981058291138,log2FC > 1
902,vapC26,1.76,0.0005151378058374,pseudogene,3.28807657618414,log2FC > 1
903,iniB,1.375,9.83646861224346e-06,coding,5.0071607895242485,log2FC > 1
904,folP,1.309,4.6768109050156e-08,coding,7.330050189332136,log2FC > 1
905,sufB,0.713,3.21561656420796e-07,pseudogene,6.492735742876498,-1 < log2FC < 1
906,gabT,0.834,7.18132129144019e-08,coding,7.143795642555922,-1 < log2FC < 1
907,aftC,0.243,0.301823193976795,pseudogene,0.5202473893812081,Not significative
908,espA,0.19,0.264311054439333,coding,0.5778846727305432,Not significative
909,xerD,0.13,0.550220970935246,coding,0.2594628610784795,Not significative
910,mshB,1.111,1.55079140559248e-11,pseudogene,10.809446614496208,log2FC > 1
911,orn,1.017,3.61900536930186e-06,pseudogene,5.441410772554569,log2FC > 1
912,lprG,0.899,4.25638017902706e-05,non-coding,4.370959587884157,-1 < log2FC < 1
913,purE,0.676,1.49008300424942e-08,pseudogene,7.826789538780039,-1 < log2FC < 1
914,mftD,1.287,4.47766032848787e-06,coding,5.348948854718246,log2FC > 1
915,vapC29,1.291,1.8542781381756e-06,coding,5.731825121963371,log2FC > 1
916,csm3,1.197,2.2316246108635e-06,non-coding,5.651378857736988,log2FC > 1
917,mftG,1.105,6.28975220589861e-05,non-coding,4.201366463891884,log2FC > 1
918,fabG1,0.184,0.287486977141051,coding,0.5413818236139268,Not significative
919,iniA,0.366,0.023769316426424,pseudogene,1.6239833078174997,-1 < log2FC < 1
920,sucC,-0.439,0.0249351222001207,coding,1.6031884990835543,-1 < log2FC < 1
921,pdc,-0.195,0.362976858346488,pseudogene,0.4401210626024402,Not significative
922,manA,-0.48,0.0048895887341969,pseudogene,2.3107276680706907,-1 < log2FC < 1
923,dapA,0.025,0.937178950453205,pseudogene,0.0281774744548045,Not significative
924,treZ,0.514,0.033574926734243,coding,1.4739849263568998,-1 < log2FC < 1
925,rpmF,0.406,0.182697252499378,pseudogene,0.7382679837549132,Not significative
926,dprE1,-0.096,0.628736781506683,pseudogene,0.2015311323997177,Not significative
927,rplR,0.409,0.0327464757638849,non-coding,1.4848354327303783,-1 < log2FC < 1
928,metE,0.445,0.229013022421524,non-coding,0.6401398215683698,Not significative
929,ephA,-0.018,0.930157698434858,coding,0.0314434151513729,Not significative
930,eccD5,-0.205,0.335175943698268,coding,0.4747271591766321,Not significative
931,lprJ,0.364,0.0125351824802559,coding,1.9018693394407984,-1 < log2FC < 1
932,mtp,-0.753,0.0023429343676909,pseudogene,2.6302398770662507,-1 < log2FC < 1
933,embA,-0.853,0.0043354771850735,non-coding,2.3629630948569846,-1 < log2FC < 1
934,nrp,-0.489,0.0136581595097067,non-coding,1.8646078195879672,-1 < log2FC < 1
935,ilvA,-0.362,0.191232963830647,coding,0.7184372439855538,Not significative
936,bluB,-0.267,0.235382237613613,non-coding,0.6282263129345828,Not significative
937,choD,0.162,0.607918976409117,coding,0.216154299745784,Not significative
938,aroC,0.357,0.299900002717997,pseudogene,0.5230235303044573,Not significative
939,pptT,0.161,0.911266163694272,non-coding,0.0403547552545211,Not significative
940,lipD,-1.277,0.0172222288466035,coding,1.7639106442213874,log2FC < -1
941,espI,0.448,0.139865440882767,pseudogene,0.8542895813481641,Not significative
942,miaB,-0.689,0.0132734922010232,coding,1.8770148010161043,-1 < log2FC < 1
943,secE,0.223,0.693116004590323,coding,0.1591940728380697,Not significative
944,rpsP,0.439,0.298744151137035,coding,0.5247005886505891,Not significative
